antiguedad,caja_cambios,descripcion,marca_modelo,millas,motor,precio_libra
2020 reg,Automatic,1.5L M Sport 118i,"BMW, ,1 Series","8,497 miles",Petrol,"£26,100"
2019 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","27,241 miles",Petrol,"£26,150"
2019 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","29,628 miles",Petrol,"£26,150"
2019 reg,Automatic,2L M Sport 330i,"BMW, ,3 Series","34,636 miles",Petrol,"£26,150"
2018 reg,Automatic,2L M Sport 530e,"BMW, ,5 Series","38,894 miles",Plug-in hybrid,"£26,200"
2019 reg,Automatic,2L M Sport 320d,"BMW, ,3 Series","25,515 miles",Diesel,"£26,250"
2020 reg,Automatic,1.5L M Sport 118i,"BMW, ,1 Series","11,674 miles",Petrol,"£26,300"
2020 reg,Automatic,1.5L M Sport 118i,"BMW, ,1 Series","16,765 miles",Petrol,"£26,300"
2020 reg,Automatic,2L M Sport 520i,"BMW, ,5 Series","23,894 miles",Petrol,"£26,350"
2020 reg,Automatic,1.5L M Sport 118i,"BMW, ,1 Series","7,377 miles",Petrol,"£26,350"
2020 reg,Automatic,1.5L M Sport 118i,"BMW, ,1 Series","11,421 miles",Petrol,"£26,400"
2020 reg,Automatic,1.5L M Sport 18i,"BMW, ,X2","15,662 miles",Petrol,"£26,400"
2019 reg,Automatic,2L M Sport 520d,"BMW, ,5 Series","32,542 miles",Diesel,"£26,400"
2019 reg,Automatic,2L M Sport 420d,"BMW, ,4 Series","20,056 miles",Diesel,"£26,400"
2019 reg,Automatic,2L M Sport 520d,"BMW, ,5 Series","28,521 miles",Diesel,"£26,450"
2020 reg,Automatic,1.5L M Sport 118i,"BMW, ,1 Series","3,554 miles",Petrol,"£26,500"
2020 reg,Automatic,1.5L M Sport 118i,"BMW, ,1 Series","23,574 miles",Petrol,"£26,550"
2018 reg,Automatic,2L M Sport 530e,"BMW, ,5 Series","28,383 miles",Petrol,"£26,550"
2019 reg,Automatic,2L M Sport 530e,"BMW, ,5 Series","39,211 miles",Plug-in hybrid,"£26,650"
2020 reg,Automatic,2L M Sport 320i,"BMW, ,3 Series","22,499 miles",Petrol,"£26,650"
2019 reg,Automatic,2L M Sport 330i,"BMW, ,3 Series","42,686 miles",Petrol,"£26,700"
2019 reg,Automatic,2L M Sport 20d,"BMW, ,X3","51,535 miles",Diesel,"£26,700"
2020 reg,Automatic,2L M Sport 20i,"BMW, ,X1","19,755 miles",Petrol,"£26,750"
2019 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","21,222 miles",Petrol,"£26,800"
2018 reg,Automatic,2L M Sport 530e,"BMW, ,5 Series","33,736 miles",Hybrid,"£26,800"
2020 reg,Automatic,1.5L M Sport 118i,"BMW, ,1 Series","8,704 miles",Petrol,"£26,850"
2020 reg,Automatic,1.5L M Sport 118i,"BMW, ,1 Series","15,815 miles",Petrol,"£26,850"
2020 reg,Automatic,1.5L M Sport 118i,"BMW, ,1 Series","15,805 miles",Petrol,"£26,850"
2019 reg,Automatic,2L M Sport 20i,"BMW, ,X2","9,623 miles",Petrol,"£26,850"
2019 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","17,583 miles",Petrol,"£26,900"
2019 reg,Manual,1.5L M Sport 218i,"BMW, ,2 Series","13,505 miles",Petrol,"£20,200"
2015 reg,Automatic,2L M Sport 20d,"BMW, ,X4","45,556 miles",Diesel,"£20,200"
2017 reg,Automatic,3L M140i,"BMW, ,1 Series","56,019 miles",Petrol,"£20,250"
2018 reg,Automatic,1.5L Sport 225xe,"BMW, ,2 Series Active Tourer","18,244 miles",Petrol,"£20,250"
2017 reg,Manual,3L Shadow Edition M140i,"BMW, ,1 Series","42,758 miles",Petrol,"£20,300"
2020 reg,Manual,1.5L Sport 118i,"BMW, ,1 Series","15,368 miles",Petrol,"£20,300"
2018 reg,Automatic,1.5L M Sport Shadow Edition 118i,"BMW, ,1 Series","22,555 miles",Petrol,"£20,350"
2018 reg,Automatic,2L M Sport Shadow Edition 330e,"BMW, ,3 Series","52,976 miles",Hybrid,"£20,400"
2017 reg,Automatic,2L M Sport 220d,"BMW, ,2 Series","26,630 miles",Diesel,"£20,450"
2018 reg,Automatic,2L M Sport 20i,"BMW, ,X1","29,460 miles",Petrol,"£20,450"
2016 reg,Automatic,2L M Sport 20d,"BMW, ,X3","52,343 miles",Diesel,"£20,500"
2018 reg,Automatic,2L M Sport 420d,"BMW, ,4 Series Gran Coupe","58,134 miles",Diesel,"£20,500"
2020 reg,Manual,1.5L M Sport 118i,"BMW, ,1 Series","52,005 miles",Petrol,"£20,500"
2018 reg,Automatic,2L xLine 20i,"BMW, ,X1","29,430 miles",Petrol,"£20,500"
2019 reg,Automatic,1.5L M Sport Shadow Edition 118i,"BMW, ,1 Series","23,264 miles",Petrol,"£20,550"
2018 reg,Automatic,2L Sport 20d,"BMW, ,X1","16,719 miles",Diesel,"£20,550"
2018 reg,Automatic,2L M Sport 20i,"BMW, ,X1","34,811 miles",Petrol,"£20,550"
