antiguedad,caja_cambios,descripcion,marca_modelo,millas,motor,precio_libra
2019 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","31,909 miles",Petrol,"£23,900"
2018 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","33,395 miles",Petrol,"£23,950"
2018 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","31,943 miles",Petrol,"£23,950"
2020 reg,Automatic,1.5L M Sport 118i,"BMW, ,1 Series","15,397 miles",Petrol,"£24,000"
2018 reg,Automatic,2L M Sport 520d,"BMW, ,5 Series","31,219 miles",Diesel,"£24,050"
2018 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","39,885 miles",Petrol,"£24,050"
2021 reg,Automatic,2L M Sport 218i,"BMW, ,2 Series","10,589 miles",Petrol,"£24,050"
2020 reg,Automatic,1.5L M Sport 118i,"BMW, ,1 Series","26,963 miles",Petrol,"£24,100"
2019 reg,Automatic,2L M Sport 320d,"BMW, ,3 Series","59,640 miles",Diesel,"£24,150"
2017 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","28,188 miles",Petrol,"£24,150"
2018 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","19,900 miles",Petrol,"£24,150"
2018 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","24,446 miles",Petrol,"£24,150"
2017 reg,Automatic,2L M Sport 530e,"BMW, ,5 Series","48,367 miles",Hybrid,"£24,200"
2017 reg,Automatic,2L M Sport 20d,"BMW, ,X4","41,213 miles",Diesel,"£24,200"
2020 reg,Automatic,1.5L M Sport 118i,"BMW, ,1 Series","13,076 miles",Petrol,"£24,200"
2018 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","23,706 miles",Petrol,"£24,200"
2019 reg,Automatic,2L xLine 20i,"BMW, ,X1","8,661 miles",Petrol,"£24,250"
2019 reg,Automatic,2L M Sport 520i,"BMW, ,5 Series","35,120 miles",Petrol,"£24,250"
2020 reg,Automatic,1.5L Sport 118i,"BMW, ,1 Series","11,349 miles",Petrol,"£24,250"
2015 reg,Automatic,2L M Sport 25d,"BMW, ,X5","38,830 miles",Diesel,"£24,250"
2017 reg,Automatic,2L M Sport 20d,"BMW, ,X4","46,500 miles",Diesel,"£24,300"
2019 reg,Automatic,2L M Sport 520i,"BMW, ,5 Series","27,517 miles",Petrol,"£24,300"
2018 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","18,207 miles",Petrol,"£24,350"
2018 reg,Automatic,3L M240i,"BMW, ,2 Series","25,887 miles",Petrol,"£24,350"
2018 reg,Automatic,2L M Sport 520i,"BMW, ,5 Series","20,281 miles",Petrol,"£24,400"
2021 reg,Manual,2L M Sport 218i,"BMW, ,2 Series","10,987 miles",Petrol,"£24,400"
2017 reg,Manual,3L M240i,"BMW, ,2 Series","27,785 miles",Petrol,"£22,250"
2017 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","48,821 miles",Petrol,"£22,300"
2018 reg,Automatic,21.6kWh,"BMW, ,i3","23,205 miles",Electric,"£22,300"
2019 reg,Automatic,2L M Sport 20i,"BMW, ,X2","30,944 miles",Petrol,"£22,300"
2018 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","44,534 miles",Petrol,"£22,300"
2019 reg,Automatic,2L xLine 20i,"BMW, ,X1","18,738 miles",Petrol,"£22,300"
2019 reg,Automatic,2L Sport 20d,"BMW, ,X2","36,589 miles",Diesel,"£22,350"
2019 reg,Automatic,2L Sport 20d,"BMW, ,X1","17,075 miles",Diesel,"£22,350"
2017 reg,Automatic,2L M Sport 20d,"BMW, ,X3","31,988 miles",Diesel,"£22,350"
2018 reg,Automatic,2L SE 520d,"BMW, ,5 Series","26,685 miles",Diesel,"£22,350"
2018 reg,Automatic,2L M Sport 530e,"BMW, ,5 Series","57,934 miles",Plug-in hybrid,"£22,350"
2017 reg,Automatic,2L M Sport 520d,"BMW, ,5 Series","32,564 miles",Diesel,"£22,400"
2017 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","43,390 miles",Petrol,"£22,400"
2018 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","29,028 miles",Petrol,"£22,400"
2018 reg,Automatic,2L SE 520d,"BMW, ,5 Series","21,612 miles",Diesel,"£22,400"
2019 reg,Automatic,2L M Sport 20i,"BMW, ,X2","43,014 miles",Petrol,"£22,450"
2018 reg,Automatic,2L xLine 20i,"BMW, ,X1","8,570 miles",Petrol,"£22,450"
2019 reg,Automatic,2L M Sport 20i,"BMW, ,X2","43,052 miles",Petrol,"£22,500"
2016 reg,Automatic,0.6L ,"BMW, ,i3","2,618 miles",Plug-in hybrid,"£22,500"
2018 reg,Automatic,2L xLine 20i,"BMW, ,X1","14,950 miles",Petrol,"£22,550"
2018 reg,Automatic,1.5L M Sport 218i,"BMW, ,2 Series","8,634 miles",Petrol,"£22,600"
2017 reg,Automatic,2L M Sport 20d,"BMW, ,X3","37,244 miles",Diesel,"£22,600"
2018 reg,Automatic,0.6L S,"BMW, ,i3","33,620 miles",Plug-in hybrid,"£22,600"
2016 reg,Automatic,3L M Sport 640d,"BMW, ,6 Series","51,350 miles",Diesel,"£22,650"
2018 reg,Automatic,2L M Sport 420i,"BMW, ,4 Series","27,287 miles",Petrol,"£22,650"
2018 reg,Automatic,2L M Sport 530e,"BMW, ,5 Series","57,356 miles",Plug-in hybrid,"£22,700"
2017 reg,Automatic,2L M Sport 20d,"BMW, ,X3","47,390 miles",Diesel,"£22,700"
2018 reg,Automatic,2L M Sport 520d,"BMW, ,5 Series","40,340 miles",Diesel,"£22,750"
2017 reg,Automatic,2L M Sport 520d,"BMW, ,5 Series","46,150 miles",Diesel,"£22,750"
2019 reg,Automatic,2L M Sport 420i,"BMW, ,4 Series","55,475 miles",Petrol,"£22,850"
2019 reg,Automatic,2L M Sport 320i,"BMW, ,3 Series Gran Turismo","31,426 miles",Petrol,"£22,850"
2017 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","40,108 miles",Petrol,"£22,850"
2018 reg,Automatic,2L M Sport 420d,"BMW, ,4 Series","36,676 miles",Diesel,"£22,900"
2019 reg,Automatic,2L Sport 20d,"BMW, ,X1","15,432 miles",Diesel,"£22,900"
2018 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","34,309 miles",Petrol,"£22,900"
2019 reg,Automatic,2L Sport 320i,"BMW, ,3 Series","39,593 miles",Petrol,"£22,950"
2018 reg,Automatic,21.6kWh,"BMW, ,i3","22,291 miles",Electric,"£22,950"
2020 reg,Manual,1.5L M Sport 118i,"BMW, ,1 Series","27,873 miles",Petrol,"£23,000"
2017 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","40,205 miles",Petrol,"£23,100"
2017 reg,Automatic,2L M Sport 420d,"BMW, ,4 Series","16,528 miles",Diesel,"£23,100"
2020 reg,Automatic,1.5L M Sport 118i,"BMW, ,1 Series","24,258 miles",Petrol,"£23,150"
2019 reg,Automatic,2L M Sport 20i,"BMW, ,X1","25,837 miles",Petrol,"£23,250"
2017 reg,Automatic,2L M Sport 420d,"BMW, ,4 Series","24,225 miles",Diesel,"£23,250"
2017 reg,Automatic,2L SE 530i,"BMW, ,5 Series","22,702 miles",Petrol,"£23,250"
2018 reg,Automatic,3L Shadow Edition M140i,"BMW, ,1 Series","29,000 miles",Petrol,"£23,250"
2016 reg,Automatic,3L M Sport 335d,"BMW, ,3 Series","46,850 miles",Diesel,"£23,250"
2019 reg,Automatic,2L M Sport 18d,"BMW, ,X2","24,236 miles",Diesel,"£23,300"
